0,1,2,3,4,5,22,24,25,28,31,32,35,37,38
0,0,21,2,491,0,2,0.0,0.0,1.0,150,25,0.17,0.0,0.0
0,1,51,2,146,0,13,0.0,0.0,0.08,255,1,0.88,0.0,0.0
0,0,26,2,232,8153,5,0.2,0.2,1.0,30,255,0.03,0.03,0.01
0,0,26,2,199,420,30,0.0,0.0,1.0,255,255,0.0,0.0,0.0
0,0,26,2,287,2251,3,0.0,0.0,1.0,8,219,0.12,0.0,0.0
0,0,26,2,300,13788,8,0.0,0.11,1.0,91,255,0.01,0.0,0.0
0,0,26,2,233,616,3,0.0,0.0,1.0,66,255,0.02,0.0,0.0
0,0,26,2,343,1178,9,0.0,0.0,1.0,157,255,0.01,0.0,0.0
0,0,26,2,253,11905,8,0.0,0.0,1.0,87,255,0.01,0.0,0.0
5607,1,51,2,147,105,1,0.0,0.0,1.0,255,1,1.0,0.0,0.0
507,0,73,2,437,14421,1,0.0,0.0,1.0,255,25,0.0,0.53,0.0
0,0,26,2,227,6588,5,0.0,0.0,1.0,43,255,0.02,0.0,0.0
0,0,26,2,215,10499,14,0.0,0.0,1.0,255,255,0.0,0.0,0.0
0,0,26,2,241,1400,33,0.0,0.0,1.0,255,255,0.0,0.0,0.0
0,0,26,2,303,555,9,0.0,0.0,1.0,9,255,0.11,0.0,0.0
0,1,13,2,45,45,181,0.0,0.0,1.0,255,250,0.0,0.0,0.0
1,1,56,2,105,147,2,0.0,0.0,1.0,41,5,0.05,0.0,0.0
0,1,13,2,43,43,122,0.0,0.0,1.0,255,255,0.01,0.0,0.0
0,0,26,2,324,2302,22,0.0,0.0,1.0,255,255,0.0,0.0,0.0
2,0,64,2,1591,372,1,0.0,0.0,1.0,181,147,0.01,0.0,0.0
9052,1,51,2,146,105,4,0.0,0.0,0.5,255,2,0.99,0.0,0.0
0,0,26,2,290,3006,11,0.0,0.0,1.0,255,255,0.0,0.0,0.0
